0.5,359,385,30,0.483
0.55,358,386,31,0.481
0.6,357,387,32,0.48
0.65,356,388,33,0.478
0.7,346,398,43,0.465
0.75,331,413,58,0.445
0.8,305,439,84,0.41
0.85,236,508,153,0.317
0.9,141,603,248,0.19
0.95,27,717,362,0.036
